game_id,compe,year,team_category,score,time
1,wc,1982,A,1,22
1,wc,1982,A,2,73
2,wc,1982,H,1,17
2,wc,1982,A,1,26
2,wc,1982,A,2,92
2,wc,1982,A,3,98
2,wc,1982,H,2,102
2,wc,1982,H,3,108
3,wc,1982,A,1,13
3,wc,1982,H,1,40
3,wc,1982,H,2,44
3,wc,1982,H,3,46
3,wc,1982,A,2,72
4,wc,1982,H,1,57
4,wc,1982,H,2,69
4,wc,1982,H,3,81
4,wc,1982,A,1,83
5,wc,1982,NA,NA,NA
6,wc,1982,NA,NA,NA
7,wc,1982,H,1,18
7,wc,1982,A,1,83
8,wc,1982,NA,NA,NA
9,wc,1982,H,1,55
9,wc,1982,H,2,58
9,wc,1982,H,3,61
9,wc,1982,H,4,68
9,wc,1982,H,5,76
9,wc,1982,A,1,83
10,wc,1982,H,1,60
10,wc,1982,A,1,61
11,wc,1982,A,1,54
11,wc,1982,H,1,67
11,wc,1982,A,2,68
12,wc,1982,A,1,22
13,wc,1982,H,1,9
13,wc,1982,H,2,57
13,wc,1982,H,3,66
13,wc,1982,H,4,83
13,wc,1982,A,1,90
14,wc,1982,A,1,55
14,wc,1982,A,2,67
15,wc,1982,H,1,7
15,wc,1982,H,2,31
15,wc,1982,H,3,35
15,wc,1982,A,1,59
15,wc,1982,A,2,73
16,wc,1982,H,1,10
17,wc,1982,A,1,62
18,wc,1982,H,1,4
18,wc,1982,H,2,11
18,wc,1982,H,3,23
18,wc,1982,H,4,50
18,wc,1982,H,5,54
18,wc,1982,A,1,64
18,wc,1982,H,6,69
18,wc,1982,H,7,70
18,wc,1982,H,8,72
18,wc,1982,H,9,76
18,wc,1982,H,10,83
19,wc,1982,H,1,26
19,wc,1982,H,2,28
19,wc,1982,H,3,57
19,wc,1982,H,4,60
19,wc,1982,A,1,76
20,wc,1982,H,1,19
21,wc,1982,A,1,27
21,wc,1982,H,1,76
22,wc,1982,H,1,22
22,wc,1982,H,2,54
23,wc,1982,H,1,1
23,wc,1982,A,1,24
23,wc,1982,H,2,67
23,wc,1982,H,3,83
24,wc,1982,H,1,21
24,wc,1982,A,1,57
25,wc,1982,H,1,62
25,wc,1982,H,2,66
26,wc,1982,H,1,31
26,wc,1982,H,2,43
26,wc,1982,H,3,48
26,wc,1982,A,1,75
26,wc,1982,H,4,89
27,wc,1982,H,1,66
27,wc,1982,A,1,84
28,wc,1982,H,1,27
29,wc,1982,A,1,7
29,wc,1982,H,1,65
30,wc,1982,NA,NA,NA
31,wc,1982,A,1,10
31,wc,1982,H,1,14
31,wc,1982,H,2,66
32,wc,1982,A,1,9
32,wc,1982,H,1,60
33,wc,1982,A,1,88
34,wc,1982,H,1,47
35,wc,1982,A,1,34
35,wc,1982,H,1,75
35,wc,1982,H,2,88
36,wc,1982,H,1,18
36,wc,1982,H,2,29
36,wc,1982,H,3,32
36,wc,1982,A,1,54
36,wc,1982,A,2,64
36,wc,1982,H,4,73
36,wc,1982,H,5,79
37,wc,1982,A,1,18
37,wc,1982,H,1,33
37,wc,1982,H,2,48
37,wc,1982,H,3,63
37,wc,1982,H,4,87
38,wc,1982,H,1,24
38,wc,1982,H,2,48
38,wc,1982,H,3,68
39,wc,1982,A,1,15
39,wc,1982,H,1,59
39,wc,1982,H,2,84
39,wc,1982,A,2,86
40,wc,1982,H,1,28
40,wc,1982,H,2,31
40,wc,1982,H,3,64
40,wc,1982,H,4,70
41,wc,1982,H,1,4
41,wc,1982,H,2,26
41,wc,1982,H,3,53
42,wc,1982,A,1,48
